,price,address,proptype,region,city,bedrooms,bathrooms,sqft
278,699000,108-1859 Spyglass Place,Apt/Condo,False Creek,Vancouver,1,1,777
279,899000,516-3588 Sawmill Crescent,Apt/Condo,South Marine,Vancouver,2,2,1050
280,899000,1807-1189 Melville Street,Apt/Condo,Coal Harbour,Vancouver,1,1,724
281,899900,1207-565 Smithe Street,Apt/Condo,Downtown West,Vancouver,2,2,788
282,749000,507-1495 Richards Street,Apt/Condo,Yaletown,Vancouver,1,1,563
283,1398000,409-3487 Binning Road,Apt/Condo,University (Ubc),Vancouver,3,2,1302
284,1399000,406-1708 Ontario Street,Apt/Condo,Mount Pleasant East,Vancouver,3,2,1131
285,759000,210-508 W 29th Avenue,Apt/Condo,Cambie,Vancouver,1,1,670
286,969000,307-1477 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,1,1,817
287,589900,405-2688 Vine Street,Apt/Condo,Kitsilano,Vancouver,1,1,558
288,599000,1803-977 Mainland Street,Apt/Condo,Yaletown,Vancouver,1,1,514
289,1950000,1402-1171 Jervis Street,Apt/Condo,West End,Vancouver,2,2,1280
290,3149900,407-3636 W 39th Avenue,Apt/Condo,Southlands,Vancouver,3,2,1527
291,849000,1804-610 Granville Street,Apt/Condo,Downtown West,Vancouver,2,1,758
292,2488000,1901-1835 Morton Avenue,Apt/Condo,West End,Vancouver,2,2,1510
293,2199900,403-3636 W 39th Avenue,Apt/Condo,Southlands,Vancouver,2,3,1280
294,729000,205-531 Beatty Street,Apt/Condo,Downtown West,Vancouver,1,1,719
295,459000,101-2272 Dundas Street,Apt/Condo,Hastings,Vancouver,1,1,556
296,649900,1002-928 Homer Street,Apt/Condo,Yaletown,Vancouver,1,1,496
297,489900,106-8770 Laurel Street,Apt/Condo,Marpole,Vancouver,2,2,1001
298,778900,1907-1775 Quebec Street,Apt/Condo,Mount Pleasant East,Vancouver,1,1,653
299,1849900,101-717 W 17 Avenue,Apt/Condo,Cambie,Vancouver,2,2,1173
300,3788000,PH2015-68 Smithe Street,Apt/Condo,Downtown West,Vancouver,3,4,2240
301,6150000,602-277 Thurlow Street,Apt/Condo,Coal Harbour,Vancouver,2,3,2497
302,499000,333-3364 Marquette Crescent,Apt/Condo,Champlain Heights,Vancouver,2,2,1029
303,2388000,4608-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,2,2,1191
304,2498000,2801-1188 Quebec Street,Apt/Condo,Downtown East,Vancouver,3,2,1933
305,948000,808-1050 Burrard Street,Apt/Condo,Downtown West,Vancouver,2,2,1006
306,4880000,1702-1501 Howe Street,Apt/Condo,Yaletown,Vancouver,4,4,2405
307,4150000,1801-1171 Jervis Street,Apt/Condo,West End,Vancouver,2,3,2262
308,849000,305-1006 Beach Avenue,Apt/Condo,Yaletown,Vancouver,2,2,981
309,969000,307-1477 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,1,1,817
310,848800,7-229 Carrall Street,Apt/Condo,Downtown West,Vancouver,1,1,894
311,3480000,602-620 Cardero Street,Apt/Condo,Coal Harbour,Vancouver,3,3,1628
